1 2020-05-11 01:16:45 Start writing StarsInMoviesRecord.
147 2020-05-11 01:16:48 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lesley Sharp -> Actor doesn't exist.
148 2020-05-11 01:16:48 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Kulvinder Ghir -> Actor doesn't exist.
149 2020-05-11 01:16:48 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Liesel Mathews -> Actor doesn't exist.
150 2020-05-11 01:16:48 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Eleanor Brown -> Actor doesn't exist.
151 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | E-than Hawke -> Actor doesn't exist.
152 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " |  -> Movie doesn't exist.
153 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Aurore Prieto -> Actor doesn't exist.
154 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Sylvie Habault -> Actor doesn't exist.
155 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Tracey Walker -> Actor doesn't exist.
156 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Fox Harris -> Actor doesn't exist.
157 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Chloe Webb -> Actor doesn't exist.
158 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Claude Noiller -> Actor doesn't exist.
159 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Valentine Tessier -> Actor doesn't exist.
160 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lea Padovani -> Actor doesn't exist.
161 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Henri Garcin -> Actor doesn't exist.
162 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Julien Bertheau -> Actor doesn't exist.
163 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Semyon Shaigada -> Actor doesn't exist.
164 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Stepan Shkurat -> Actor doesn't exist.
165 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Sergei Stolyarov -> Actor doesn't exist.
166 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lyda Bonelli -> Actor doesn't exist.
167 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Mario Bonnard -> Actor doesn't exist.
168 2020-05-11 01:16:49 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Mabel Poulton -> Actor doesn't exist.
